ArticleTitle,Question,Answer
Canada,Did France cede nearly all of its colonies in Europe in 1763?,Yes.
Canada,Is Canada a member of the OECD?,Yes.
Canada,Is Canada's official language Zulu?,No.
Canada,What is one significant non-official language?,Chinese.
Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City
Canada,What was the Consitution Act formerly called?,The British North America Act.
Canada,Which countries established colonies in Canada?,France and Britain.
Canada,How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
Canada,What percentage of the population don't speak English or French at home?,28%
Canada,Is Canada bilingual?,Yes.
Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes
Canada,Is an official language of Canada German?,No.
Canada,How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories
Canada,What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador."
Canada,Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent."
Canada,What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%."
Canada,When did Canada have one of the largest armed forces in the world?,1944
Canada,What have been inhabited for millennia by aboriginal peoples?,The lands
Canada,European books and maps began referring to this region as Canada in what year?,1545
Canada,What was Canada's most important industry until the 1800s?,The fur trade
Canada,Is it true that it angered many residents of the thirteen colonies?,yes
Canada,How do cuba and declining participation relate?,Canada maintains full relations with both.
Canada,Is it true that provinces have a large degree of autonomy?,yes
Canada,What did Canada adopt in 1965?,The Maple Leaf Flag
Canada,What arrived in Britain?,The first Canadian Army units in WW II
Canada,Are Canada 's two official languages English and French ?,yes
Canada,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes
Canada,Is Canada a geographically vast and ethnically diverse country ?,yes
Canada,Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!
Canada,"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes
Canada,Did continental European immigrants not S08_settle the prairies ?,no
Canada,Is it the world 's second largest country by total area?,yes
Canada,What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity"
duck,Are ducks in the Arctic Northern Hemisphere migratory?,Some are
duck,Is a drake a male?,Yes
duck,"Do all ducks ""quack""?",No
duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew
duck,What animal attracts the most humor and silliness?,The duck
duck,What is an economic use of a duck?,Meat
duck,Who is Daffy Duck?,A silly cartoon character
duck,What makes it more difficult for a diving duck to fly?,They are heavier
duck,What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers"
duck,Do ducks forage underwater?,yes
duck,Is foie gras often made from ducks?,yes
duck,What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos."
duck,What kind of ducks feed on land?,Dabbling ducks
duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
duck,What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.
duck,What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles."
duck,How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat"
duck,Are diving ducks heavier tha dabbling ducks?,Yes
duck,Are adult ducks fast fliers?,Yes
duck,Are ducks an accepted presence in some populated areas?,Yes
duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots"
duck,Why are ducklings particularly vulnerable?,Their inability to fly.
duck,What are some economic uses for duck?,"Meat,eggs,feathers"
duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae
duck,What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck
duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
Egypt,Is Egypt bordered by the Gaza Strip?,yes
Egypt,Is Egypt the most populated country in Africa?,no
Egypt,Does Egypt have political influence in the Middle East?,yes
Egypt,When was the Six Day War?,1967
Egypt,What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism"
Egypt,What is the poulation of Egypt?,more than 78 million
Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,"
Egypt,Are there a large number of Jews living in Egypt today?,no
Egypt,During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC)
Egypt,Is Egypt in Asia?,No.
Egypt,Does Egypt receive the least rainfall in the world?,Yes.
Egypt,Does Egypt's foreign policy operates along moderate lines?,Yes.
Egypt,Since when has Egypt been a republic?,June 18 1953.
Egypt,When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.
Egypt,What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel."
